Coin,Num_Test_Samples,LSTM_MAE,LSTM_RMSE,Transformer_MAE,Transformer_RMSE,Better_Model_By_RMSE,Best_Model
BNB,549877,0.0819443017244339,0.1672943014750546,0.037956733256578445,0.07322434843890434,Transformer,Transformer
BTC,549877,0.01947113871574402,0.03113299309930626,0.0064771417528390884,0.014984163878612303,Transformer,Transformer
ETH,549877,0.06284335255622864,0.07274162265589834,0.0005627566715702415,0.0008573779403845497,Transformer,Transformer
