Coin,LSTM_MAE_Original,LSTM_RMSE_Original,Transformer_MAE_Original,Transformer_RMSE_Original,Better_Model_By_Original_RMSE
BNB,62.127376556396484,126.83679766608545,28.777496337890625,55.5161857029101,Transformer
BTC,1824.0626220703125,2916.549159537689,606.7809448242188,1403.7213042481046,Transformer
ETH,260.7998962402344,301.877743258757,2.335439443588257,3.5581178985583803,Transformer
